Entity, Attribute, Error Message
PRODUCT, salesrank, attribute missing: salesrank B00004R5Z2
PRODUCT, salesrank, attribute missing: salesrank B000024YJ4
PRODUCT, salesrank, attribute missing: salesrank B000001DEW
PRODUCT, salesrank, attribute missing: salesrank B0000258HT
PRODUCT, salesrank, attribute missing: salesrank B000027Y29
PRODUCT, salesrank, attribute missing: salesrank B000026XJJ
PRODUCT, salesrank, attribute missing: salesrank B00012QCV8
PRODUCT, pgroup, Unknown product type: Musical
PRODUCT, salesrank, attribute missing: salesrank B000024UK5
BOOK, pages, text missing: pages 3899407288
BOOK, pages, text missing: pages 3937825010
BOOK, pages, text missing: pages 3468268432
BOOK, pages, text missing: pages 3832712445
BOOK, pages, text missing: pages 3832003215
BOOK, pages, text missing: pages 3866151128
PRODUCT, salesrank, attribute missing: salesrank B000000WW4
PRODUCT, salesrank, attribute missing: salesrank B00006C2OJ
DVD, regioncode, text missing: regioncode B0000W3N8E
DVD, regioncode, text missing: regioncode B00078JZ9W
DVD, regioncode, text missing: regioncode B0002ONAZQ
DVD, runningtime, text missing: runningtime B000BW9BZM
PRODUCT, salesrank, attribute missing: salesrank B000023ZYY
PRODUCT, salesrank, attribute missing: salesrank B00023BHE8
PRODUCT, salesrank, attribute missing: salesrank B0000032M5
PRODUCT, salesrank, attribute missing: salesrank B000007N12
PRODUCT, salesrank, attribute missing: salesrank B00009YW8X
PRODUCT, salesrank, attribute missing: salesrank B0000240RX
BOOK, pages, text missing: pages B000766Y02
BOOK, pages, text missing: pages 3895848271
PRODUCT, salesrank, attribute missing: salesrank 9626348011
BOOK, publisher, tag missing: publisher 3462034480
BOOK, pages, text missing: pages 3833714212
BOOK, pages, text missing: pages 354860627X
BOOK, pages, text missing: pages 389584702X
BOOK, publisher, tag missing: publisher 3774266743
BOOK, pages, text missing: pages 3899402693
BOOK, pages, text missing: pages 3937825002
BOOK, pages, text missing: pages 3938276010
BOOK, pages, text missing: pages 3898134172
BOOK, publication, attribute missing: date 3275014838
BOOK, pages, text missing: pages 3898132730
BOOK, pages, text missing: pages 3442339057
PRODUCT, salesrank, attribute missing: salesrank B000025J1L
DVD, regioncode, text missing: regioncode B0001XP2SG
DVD, runningtime, text missing: runningtime B0000W3N8O
DVD, regioncode, text missing: regioncode B0002X7BE8
DVD, runningtime, text missing: runningtime B00061H2KE
DVD, runningtime, text missing: runningtime B000BKFED2
DVD, regioncode, text missing: regioncode B0002JZ30G
PRODUCT, salesrank, attribute missing: salesrank B0000032M6
PRODUCT, salesrank, attribute missing: salesrank B00005YEWO
PRODUCT, salesrank, attribute missing: salesrank B00000EK23
PRODUCT, salesrank, attribute missing: salesrank B0000036BW
PRODUCT, salesrank, attribute missing: salesrank B000002X1K
PRODUCT, salesrank, attribute missing: salesrank B00005NWMU
PRODUCT, salesrank, attribute missing: salesrank B0002PUHI8
BOOK, pages, text missing: pages 3833934824
BOOK, pages, text missing: pages 3832712291
BOOK, pages, text missing: pages 3937825177
BOOK, pages, text missing: pages 3491240735
DVD, runningtime, text missing: runningtime B0000SZLJ2
PRODUCT, salesrank, attribute missing: salesrank B000025ERK
BOOK, pages, text missing: pages 383182049X
DVD, regioncode, text missing: regioncode B0009VJWN6
BOOK, pages, text missing: pages 3593375257
BOOK, pages, text missing: pages 3898134245
BOOK, pages, text missing: pages 3935036582
PRODUCT, salesrank, attribute missing: salesrank B000127Z4G
PRODUCT, salesrank, attribute missing: salesrank B0000668PG
PRODUCT, salesrank, attribute missing: salesrank B00005YH0L
PRODUCT, salesrank, attribute missing: salesrank B0000061MY
BOOK, pages, text missing: pages 389830695X
PRODUCT, salesrank, attribute missing: salesrank B000006MIG
PRODUCT, salesrank, attribute missing: salesrank B000000355
PRODUCT, salesrank, attribute missing: salesrank B000000EBM
PRODUCT, salesrank, attribute missing: salesrank B0000017B4
PRODUCT, salesrank, attribute missing: salesrank B00008F5FA
PRODUCT, salesrank, attribute missing: salesrank B000007SYR
PRODUCT, salesrank, attribute missing: salesrank B00000DZFK
PRODUCT, salesrank, attribute missing: salesrank B00000ELBM
PRODUCT, salesrank, attribute missing: salesrank B000005CRA
PRODUCT, salesrank, attribute missing: salesrank B00003E443
PRODUCT, salesrank, attribute missing: salesrank B0000508P9
PRODUCT, salesrank, attribute missing: salesrank B00000DLX7
DVD, regioncode, text missing: regioncode B000067NR4
PRODUCT, salesrank, attribute missing: salesrank B00009MGGF
PRODUCT, salesrank, attribute missing: salesrank B0000A4GEK
DVD, runningtime, text missing: runningtime B0000DKKVL
DVD, regioncode, text missing: regioncode B0000UM0HG
DVD, regioncode, text missing: regioncode B00065VRX8
DVD, regioncode, text missing: regioncode B0006BLIYA
DVD, regioncode, text missing: regioncode B0009JOOZE
CD, label, tag missing: label B000BM7U6Y
PRODUCT, salesrank, attribute missing: salesrank B000CAKWNS
BOOK, pages, text missing: pages B000AMF7X8
BOOK, pages, text missing: pages B000850GZQ
CD, label, tag missing: label B000AGK83S
BOOK, pages, text missing: pages B000AMF7XI
CD, label, tag missing: label B0001XLXRU
PRODUCT, salesrank, attribute missing: salesrank B0000C3I1I
BOOK, pages, text missing: pages B00006L746
BOOK, pages, text missing: pages B00017YYFE
CD, label, tag missing: label B000BYVJUA
PRODUCT, salesrank, attribute missing: salesrank B00006313Y
PRODUCT, salesrank, attribute missing: salesrank B000003W0C
CD, releasedate, text missing: releasedate B000007OWQ
CD, label, tag missing: label B00007L6R5
CD, label, tag missing: label B000C1OYU4
PRODUCT, salesrank, attribute missing: salesrank B000005YNW
CD, label, tag missing: label B000BJ7CHO
BOOK, pages, text missing: pages B00006L748
PRODUCT, salesrank, attribute missing: salesrank B00009ZXZ5
PRODUCT, salesrank, attribute missing: salesrank B00003G1IL
PRODUCT, salesrank, attribute missing: salesrank B00000D9VP
CD, label, tag missing: label B000C8VDH4
CD, label, tag missing: label B000CNF4YC
BOOK, pages, text missing: pages B000069KNL
PRODUCT, salesrank, attribute missing: salesrank B00008G4IU
PRODUCT, salesrank, attribute missing: salesrank B00009QEPF
PRODUCT, salesrank, attribute missing: salesrank B000AC5B1G
PRODUCT, salesrank, attribute missing: salesrank B0000506SC
PRODUCT, salesrank, attribute missing: salesrank B000003D1R
PRODUCT, salesrank, attribute missing: salesrank B000056PR7
PRODUCT, salesrank, attribute missing: salesrank B000005IW3
PRODUCT, salesrank, attribute missing: salesrank B00006GEL7
PRODUCT, salesrank, attribute missing: salesrank B0000015IZ
PRODUCT, salesrank, attribute missing: salesrank 3937406107
PRODUCT, salesrank, attribute missing: salesrank B000003LW1
CD, label, tag missing: label B0009MWB60
BOOK, pages, text missing: pages 3899406788
BOOK, pages, text missing: pages 3895849995
BOOK, pages, text missing: pages 3895847011
BOOK, pages, text missing: pages 3593376946
BOOK, pages, text missing: pages 3866151187
BOOK, pages, text missing: pages 3898303039
BOOK, pages, text missing: pages 3895847038
BOOK, pages, text missing: pages 386615111X
BOOK, pages, text missing: pages 3866151071
BOOK, pages, text missing: pages 3866040733
BOOK, pages, text missing: pages 3866151098
BOOK, pages, text missing: pages 3898304590
BOOK, pages, text missing: pages 3800051664
BOOK, pages, text missing: pages 3866040156
BOOK, pages, text missing: pages 3785555474
BOOK, pages, text missing: pages 3833959819
BOOK, pages, text missing: pages 3866151179
BOOK, pages, text missing: pages 051
BOOK, pages, text missing: pages 398081890X
BOOK, pages, text missing: pages 3466457513
BOOK, pages, text missing: pages 3866040687
BOOK, pages, text missing: pages 3866040555
BOOK, pages, text missing: pages 3899407180
BOOK, pages, text missing: pages 3899035119
BOOK, pages, text missing: pages 386615108X
BOOK, pages, text missing: pages 340780945X
BOOK, pages, text missing: pages 3866151160
BOOK, pages, text missing: pages 3491911818
BOOK, pages, text missing: pages 3593379031
BOOK, pages, text missing: pages 3866040113
BOOK, pages, text missing: pages 3899401719
BOOK, pages, text missing: pages B0001WGER0
BOOK, pages, text missing: pages 3935036787
BOOK, pages, text missing: pages 3886985113
BOOK, pages, text missing: pages 3466456681
BOOK, pages, text missing: pages 3593376881
BOOK, pages, text missing: pages 3866151101
BOOK, pages, text missing: pages 378910079X
BOOK, pages, text missing: pages 3876513006
BOOK, pages, text missing: pages 389830583X
BOOK, pages, text missing: pages 3899401883
BOOK, pages, text missing: pages 3893859861
BOOK, pages, text missing: pages 3899400461
BOOK, pages, text missing: pages 3897154935
BOOK, pages, text missing: pages 3831814767
BOOK, pages, text missing: pages 3866040059
BOOK, pages, text missing: pages 3898303446
BOOK, pages, text missing: pages B0001WGERU
BOOK, pages, text missing: pages 349188795X
BOOK, pages, text missing: pages 3899035100
PRODUCT, salesrank, attribute missing: salesrank B0000045O1
PRODUCT, salesrank, attribute missing: salesrank B000003LVO
PRODUCT, salesrank, attribute missing: salesrank B000007SLA
PRODUCT, salesrank, attribute missing: salesrank B00005NTTQ
PRODUCT, salesrank, attribute missing: salesrank B00005YHLD
PRODUCT, salesrank, attribute missing: salesrank B00001WRKN
PRODUCT, salesrank, attribute missing: salesrank B00006GEL8
PRODUCT, salesrank, attribute missing: salesrank B000000OF8
PRODUCT, salesrank, attribute missing: salesrank B0006OL5E0
OFFER, price, Price is negative: -1037.0 for product: B00005Q673
DVD, runningtime, text missing: runningtime B000BGIAY6
DVD, regioncode, text missing: regioncode B00013YWH8
DVD, regioncode, text missing: regioncode B000BX0Z9M
DVD, regioncode, text missing: regioncode B0007QS1VW
DVD, runningtime, text missing: runningtime B0009VJVJG
DVD, runningtime, text missing: runningtime B000BRBH90
DVD, runningtime, text missing: runningtime B000BW9BZW
DVD, regioncode, text missing: regioncode B00009LW5L
DVD, regioncode, text missing: regioncode B0009NSATG
DVD, regioncode, text missing: regioncode B0007QGSD0
DVD, regioncode, text missing: regioncode B0000YWHOI
DVD, runningtime, text missing: runningtime B000BPNCXQ
DVD, regioncode, text missing: regioncode B000C50MRY
DVD, regioncode, text missing: regioncode B000BOG1N0
DVD, regioncode, text missing: regioncode B0007DDPWK
DVD, regioncode, text missing: regioncode B00007FOO0
DVD, regioncode, text missing: regioncode B000BV5XGO
DVD, runningtime, text missing: runningtime B0009HL8EQ
DVD, regioncode, text missing: regioncode B0000E3HLD
DVD, regioncode, text missing: regioncode B000A6C23W
DVD, regioncode, text missing: regioncode B000BKHF8E
DVD, runningtime, text missing: runningtime B000BLI5XC
DVD, runningtime, text missing: runningtime B000BM3YA0
DVD, regioncode, text missing: regioncode B000BEZR94
DVD, regioncode, text missing: regioncode B0000DG7BZ
PRODUCT, title, tag missing: title B00007DXEC
DVD, runningtime, text missing: runningtime B000BRY67U
DVD, runningtime, text missing: runningtime B000BQ5J8Q
DVD, regioncode, text missing: regioncode B0009HLB3O
DVD, runningtime, text missing: runningtime B000BOIV4W
DVD, runningtime, text missing: runningtime B0007Z0ZBM
DVD, regioncode, text missing: regioncode B00006316A
DVD, regioncode, text missing: regioncode B000BKSHIG
DVD, regioncode, text missing: regioncode B000B6699O
DVD, regioncode, text missing: regioncode B000BPLPXA
DVD, runningtime, text missing: runningtime B000B5KSN8
DVD, regioncode, text missing: regioncode B000B7AOUS
DVD, runningtime, text missing: runningtime B0001EQHGG
DVD, regioncode, text missing: regioncode B000B7VZU6
DVD, regioncode, text missing: regioncode B0000DB56Q
DVD, regioncode, text missing: regioncode B00061S0K0
DVD, runningtime, text missing: runningtime B000BYNESA
DVD, regioncode, text missing: regioncode B0003HGWNE
DVD, regioncode, text missing: regioncode B0000DBDJP
DVD, regioncode, text missing: regioncode B000BUEP6Y
DVD, regioncode, text missing: regioncode B000BEVDR4
DVD, runningtime, text missing: runningtime B00006RJSG
DVD, runningtime, text missing: runningtime B000B9TVDW
DVD, runningtime, text missing: runningtime B000BNDBMK
DVD, regioncode, text missing: regioncode B0000C03DD
DVD, regioncode, text missing: regioncode B000B7VZUG
DVD, runningtime, text missing: runningtime B0009JDS4M
DVD, regioncode, text missing: regioncode B000A3OONQ
DVD, regioncode, text missing: regioncode B000051SAY
DVD, runningtime, text missing: runningtime B00005RFTS
DVD, regioncode, text missing: regioncode B0000CGP44
DVD, regioncode, text missing: regioncode B0009ZE7PA
DVD, regioncode, text missing: regioncode B000A9QL1I
DVD, runningtime, text missing: runningtime B000AANB9M
DVD, regioncode, text missing: regioncode B000094HLU
DVD, runningtime, text missing: runningtime B00007BHOE
